File name;AHG.Question026;ALG.Question027;Climb Position.Question034;Climbed.Question033;Defense.Question037;FOT.Question032;FarTrench.Question029;InitiationLine.Question025;Match#.Question001;Match#.Question002;Match#.Question003;NOT.Question031;NearTrench.Question028;PDefense.Question024;PercentAccuracy.Question035;PickUp.Question038;Position.Question008;PositionControl.Question040;Rendezvous.Question030;RotationControl.Question039;Speed.Question036;THG.Question014;THG.Question015;THG.Question016;THG.Question017;THG.Question018;TLG.Question019;TLG.Question020;TLG.Question021;TLG.Question022;TLG.Question023;Team#.Question004;Team#.Question005;Team#.Question006;Team#.Question007
110;5;5;2;1;1;1;1;1;1;2;2;1;1;1;100;2;R3;2;1;2;2;01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20;;;;;1|2|3;1|2|3|4;1|2|3|4|5;;1;3;6;4;1
100;3|4;;2;1;1;;;1;0;8;6;;;;100;2;;;1;;2;01|02|03|04|05|06|07|08|09;;;;;;;;;;9;8;6;7
101;;3;1;1;2;;;1;0;1;6;;;1;25;1;R3;2;;1;0;01|02|03|04;01;01|02|03;01|02;;1;1|2;1|2|3;1|2|3|4;1|2|3|4|5;1;1;1;2
102;3|4;1;;0;1;;1;1;0;6;5;1;;;100;2;B3;2;;0;1;;;;;01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20;;1;1|2|3;1|2;;1;9;1;9
103;3;;2;1;1;;;1;0;3;4;;;;75;1;B3;1;;1;1;;;01|02|03|04|05|06|07;;;;;;;;2;4;6;0
104;1;5;;0;0;;;0;1;0;1;;1;;25;2;B3;0;;2;2;01|02|03;01;01|02|03|04|05|06;01;01|02|03;1|2|3|4|5;1|2|3|4;1|2|3;1|2;1;1;5;9;3
105;3;2;3;1;0;;;0;1;1;2;1;1;1;50;0;;2;;0;1;01|02|03|04;01|02|03;01|02|03|04;01|02|03|04|05;01|02|03|04;1;1|2;1|2|3;1|2;1;2;3;5;6
106;1;4;3;1;2;1;;1;0;0;9;1;;1;100;0;R1;0;;1;1;;;01|02|03|04|05|06;01|02|03|04|05;01|02|03|04;;;;;;3;3;3;3
107;4|5;;1;1;1;;;1;0;1;3;;1;;100;2;;2;1;2;2;01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17;;;;;;;;;;6;6;6;6
108;;;1;1;1;;;0;0;1;1;;;;75;2;R3;2;;2;1;01|02|03|04|05|06|07|08;01;;;;;;;;;0;4;5;3
109;4;;3;1;2;;;1;1;0;1;;1;1;75;2;R3;;;;2;01|02|03|04|05|06;01|02;;;;;;;;;0;9;9;9
